Model,Threshold,Recall,Precision,F1-Score,AUC-ROC,Accuracy
Keyword Baseline,0.5,0.3687136393018746,0.9089556995644321,0.5246183089091913,0.6658750426399388,0.6657469282172882
Logistic Regression,0.5,0.8311570782159018,0.9037109924093337,0.8659168967607246,0.9440870959289307,0.8712438025436516
Naive Bayes,0.5,0.9466063348416289,0.8840148100450741,0.9142405260857803,0.9729647337443961,0.9111661996119853
